mes,fecha,semana,hora,recibidas,atendidas,abandonada,atendidas_sla,aht_seg,tme_seg,dia_sem
202601,20260101,Sem01,1,8,8,0,8,42.3422272727273,0.201469696969697,4
202601,20260101,Sem01,0,10,10,0,10,23.807115942029,0.490376811594203,4
202601,20260101,Sem01,8,30,26,4,2,35.2800485074627,29.288552238806,4
202601,20260101,Sem01,18,38,32,6,9,35.1825796178344,10.5758375796178,4
202601,20260101,Sem01,5,10,10,0,10,29.9711875,0.2485625,4
202601,20260101,Sem01,3,8,6,2,4,40.9399230769231,13.6037692307692,4
202601,20260101,Sem01,9,48,40,8,19,42.7157735294118,14.07155,4
202601,20260101,Sem01,7,16,8,8,4,18.2176149068323,5.83719875776398,4
202601,20260101,Sem01,6,10,1,9,0,2.7920875,17.7041,4
202601,20260101,Sem01,2,10,8,2,2,53.1851833333333,23.3494,4
202601,20260101,Sem01,11,55,42,13,22,30.0838126232742,7.67154240631164,4
202601,20260101,Sem01,21,27,22,5,16,52.8745670731707,9.05698170731707,4
202601,20260101,Sem01,10,48,42,6,26,40.6476982097187,12.041925831202,4
202601,20260101,Sem01,15,30,30,0,30,24.4627313829787,0.123593085106383,4
202601,20260101,Sem01,12,48,35,13,7,24.4227911504425,16.8466920353982,4
202601,20260101,Sem01,13,47,47,0,38,39.144156779661,2.56202542372881,4
202601,20260101,Sem01,14,49,49,0,48,34.4238605150215,0.607547210300429,4
202601,20260101,Sem01,4,12,9,3,4,46.3197,14.448775,4
202601,20260101,Sem01,23,18,17,1,16,73.3517,2.23955,4
202601,20260101,Sem01,17,32,32,0,20,27.4040026737968,5.81858021390374,4
202601,20260101,Sem01,16,48,44,4,25,42.637607748184,6.64890799031477,4
202601,20260101,Sem01,19,50,32,18,3,45.0227225806452,27.1778903225806,4
202601,20260101,Sem01,20,42,32,10,16,52.5316622222222,22.0231511111111,4
202601,20260101,Sem01,22,26,24,2,12,54.5476095890411,12.2208287671233,4
202601,20260102,Sem01,1,10,10,0,10,127.724909090909,0.898121212121212,5
202601,20260102,Sem01,3,2,2,0,2,5.449,0.354411764705882,5
202601,20260102,Sem01,5,4,4,0,4,59.9264411764706,0.357441176470588,5
202601,20260102,Sem01,2,3,3,0,3,70.3180714285714,0.628142857142857,5
202601,20260102,Sem01,11,1527,1337,190,881,184.737582406802,74.6323739372139,5
202601,20260102,Sem01,16,1252,1243,9,1176,199.05339630236,5.57376019920589,5
202601,20260102,Sem01,17,1267,954,313,524,178.822395479054,113.045192036499,5
202601,20260102,Sem01,0,13,13,0,13,71.3612608695652,0.808413043478261,5
202601,20260102,Sem01,14,1184,927,257,426,167.863700625177,131.357472719523,5
202601,20260102,Sem01,7,29,29,0,29,29.8410673076923,0.272727564102564,5
202601,20260102,Sem01,23,37,37,0,37,59.4123141361257,0.386560209424084,5
202601,20260102,Sem01,4,2,2,0,2,68.2981111111111,0.3375,5
202601,20260102,Sem01,15,1188,1027,161,544,166.467316306755,98.9109275332226,5
202601,20260102,Sem01,20,52,52,0,51,26.4289779661017,0.458620338983051,5
202601,20260102,Sem01,6,12,12,0,12,38.22653,0.48124,5
202601,20260102,Sem01,10,1545,1223,322,576,168.962098109517,121.138640319427,5
202601,20260102,Sem01,18,828,502,326,178,146.134883200491,180.31985898222,5
202601,20260102,Sem01,12,1428,1197,231,714,172.030371603261,86.3666732336956,5
202601,20260102,Sem01,8,606,592,14,538,195.640943345324,11.2579392985612,5
202601,20260102,Sem01,13,1396,1013,383,451,153.77310805927,126.356351282978,5
202601,20260102,Sem01,19,458,300,158,109,133.85227857829,116.988321805956,5
202601,20260102,Sem01,9,1445,1255,190,790,187.470147527611,89.5220592996988,5
202601,20260102,Sem01,21,44,39,5,22,44.9744025641026,10.0216487179487,5
202601,20260102,Sem01,22,32,32,0,30,46.2793031674208,1.01447058823529,5
202601,20260103,Sem01,1,9,9,0,9,74.9383846153846,0.656692307692308,6
202601,20260103,Sem01,0,11,11,0,11,38.1683027522936,0.259853211009174,6
202601,20260103,Sem01,4,3,3,0,3,9.87481818181818,0.289,6
202601,20260103,Sem01,2,4,4,0,4,72.4349565217391,0.520478260869565,6
202601,20260103,Sem01,5,4,4,0,4,71.1466756756757,0.337621621621622,6
202601,20260103,Sem01,3,3,3,0,3,35.0618125,0.29471875,6
202601,20260103,Sem01,18,72,42,30,6,17.0273774453395,16.6420138089758,6
202601,20260103,Sem01,6,12,12,0,11,38.6670085470086,1.00723076923077,6
202601,20260103,Sem01,10,1322,936,386,288,152.07362810756,156.068286276001,6
202601,20260103,Sem01,8,77,71,6,45,25.6643816717019,6.51893756294058,6
202601,20260103,Sem01,19,80,29,51,3,18.8800174880763,32.0240715421304,6
202601,20260103,Sem01,15,621,611,10,508,184.068801075269,14.2613502894954,6
202601,20260103,Sem01,11,1319,927,392,214,144.277720628684,190.534019646365,6
202601,20260103,Sem01,14,680,654,26,457,209.928317901235,31.160699845679,6
202601,20260103,Sem01,21,57,22,35,0,25.6157884615385,38.0452371794872,6
202601,20260103,Sem01,7,26,24,2,21,26.8882696245734,2.84430034129693,6
202601,20260103,Sem01,16,604,572,32,352,184.411709871589,43.2033021669342,6
202601,20260103,Sem01,17,496,474,22,416,190.563283084577,14.7340228855721,6
202601,20260103,Sem01,20,62,15,47,0,13.6074966292135,18.0444988764045,6
202601,20260103,Sem01,9,1312,1055,257,556,197.837208778966,113.251042780749,6
202601,20260103,Sem01,23,33,25,8,17,68.3023157894737,9.9729022556391,6
202601,20260103,Sem01,22,34,23,11,5,45.5212233009709,26.0193834951456,6
202601,20260103,Sem01,12,1268,947,321,389,157.965797785301,134.545064395539,6
202601,20260103,Sem01,13,831,812,19,698,184.084607866508,15.9507464243146,6
202601,20260104,Sem02,7,36,5,31,0,6.50516309012876,53.2778283261802,7
202601,20260104,Sem02,5,4,4,0,3,13.6016571428571,5.3242,7
202601,20260104,Sem02,9,69,53,16,9,39.9111685823755,29.3376340996169,7
202601,20260104,Sem02,2,6,6,0,6,84.3944,1.14565,7
202601,20260104,Sem02,8,61,16,45,0,14.7594878640777,34.5311844660194,7
202601,20260104,Sem02,1,5,5,0,3,54.9296666666667,16.0073,7
